RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1723.1682399730466,1735.5032855518705,1752.1998620335626,1767.0453385961484,1783.6338217143934,1794.6198898387881,1807.481908303053,1816.5661140301738,1829.6150605284533,1834.656138,1841.7239523487058,1848.1332044978362,1859.5008311906456,1872.0224124751367,1886.4950674541465,1898.2606551651347,1911.5518105300007,1921.936600962976,1934.940380804537,1942.448263962761,1948.2730393014913,1950.0405380144236,1950.423367411056,1955.2064588565343,1969.6533398844501,1986.955652427738,2007.420198,2019.874616335677,2035.1215830081758,2044.594309098056,2056.650741680568,2062.111661853652,2067.511843180495,2068.9128649629906,2073.487541904819,2079.2381014293655,2089.8575620204006,2104.1172008348267,2114.4194080836446,2124.441688890147,2132.624248,2146.0830409687856,2158.052206170221,2168.204964996021,2172.571422667507,2176.3303602670453,2181.2552158876647,2186.711296049491,2192.345425400774,2196.5309382427895,2209.812608,2222.225653279368,2236.1343611843463,2245.4065893872944,2253.6305839375814,2259.2476217960293,2262.6833269075196,2263.8533709375097,2265.4084680271394,2268.479580932107,2274.3912106171583,2279.227277382672,2279.0749358356325,2271.059828362388,2263.301848463126,2259.572002309383,2261.279943229517,2260.240043724467,2255.1395722302623,2249.8304590463817,2247.5434240558347,2245.6380271400526,2252.1421192681382,2259.0410051280505,2270.386724942495,2279.803614839705,2297.0567534633537,2327.202153134251,2364.5057212329402,2406.467860030804,2438.0970613998807,2459.558803636149,2471.1430938225085,2488.4970529065417,2507.2743982544002,2533.275973306568,2555.729221988537,2582.870165059834,2604.9724898094582,2625.4410796303123,2644.994884244434,2661.6296352292484,2671.9930041522193,2669.4259202918383,2665.489165711956,2661.0405188027603,2663.416397804867,2670.3778561555123,2684.9177190838773,2695.558555219895,2702.6789221425697,2706.3503731706687,2712.3643442253733,2718.6151676414884,2720.213565987202,2717.386483,2708.6866237244494,2703.1940587082877,2707.002397379133,2716.6163216160344,2730.3006481719904,2741.504104234434,2753.283110863744,2762.828290244719,2772.7781145474664,2777.217485361533,2783.4386193425476,2783.203816065844,2783.075849844099,2778.0683764721475,2803.6043154221456,2826.980324083765,2850.8509390520107,2843.6286395762413,2844.675779111172,2845.7357237822353,2849.4296832084874,2850.4496708609204,2851.197715286931
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1423.0901526605926,1432.1179164242847,1443.2199699748885,1452.3139265276286,1463.2968884931017,1473.74979,1479.2251860141591,1482.0965812987076,1476.878973464603,1468.8911047738447,1459.7524860883861,1459.2225652037491,1468.4989114649832,1480.7091821871386,1492.9097672301666,1500.6648773589056,1508.6932460723065,1517.5240527364044,1524.7595183585831,1529.692693480936,1522.8482053760622,1511.7985156495988,1497.030249460861,1490.4055870277066,1496.6024507920304,1512.404212488738,1532.1153035023149,1546.1207143575243,1557.5147003973946,1563.8608341777933,1565.9319308632982,1561.110007663958,1553.8687767359113,1541.0006248848758,1531.5361132673356,1528.9519680655533,1538.2920333504487,1552.4242328533905,1565.0300861845544,1575.7509834475675,1586.1817210218114,1596.4166648683972,1601.9500876032846,1599.0586047586123,1586.3994339609205,1572.5026882266914,1563.2173816224004,1563.9423535592373,1573.7889566266517,1585.8428233280392,1603.3258997506011,1617.151859867719,1629.967739452968,1636.9163154637627,1640.0041658046512,1640.5441712537604,1635.361039495936,1628.0038366199503,1619.0125483418049,1612.7545682214413,1621.7032312541978,1634.0459958553643,1649.8308173557075,1650.518079373546,1649.1141158664734,1645.5546466060307,1643.2027305473714,1634.7486644590115,1616.030717716357,1589.5103116194198,1567.1422688676673,1559.181456213564,1561.7106136302032,1574.6249290369726,1592.217336975433,1619.9644183690962,1648.1511167641067,1673.7086547100987,1691.3415845161762,1702.1705491127734,1706.4336546067498,1704.0032399017934,1702.0005807504035,1707.0273659665659,1722.0321183180629,1739.7584420055582,1761.6015311040878,1785.5327382557002,1811.9788448429506,1832.4067429979586,1848.2836309866732,1854.9143937386937,1854.0039246596673,1848.6008338607826,1843.7812851483222,1845.486249,1853.7360217739292,1868.981076562349,1887.2255246031182,1906.8769325932344,1928.7616839349746,1946.9739851946852,1958.2433760029523,1963.2426587871207,1957.540128272929,1947.1940503214137,1937.6644675864973,1939.5725986246634,1950.4859518865917,1967.094432,1983.6189834785987,2004.3709139873936,2021.8454863262953,2038.0480862548645,2044.8761235983459,2045.491392064697,2040.8203750773969,2037.8673257436524,2038.2121267364237,2043.6683291730653,2053.7044457011334,2072.1638096654356,2093.6084235662197,2117.4678970322916,2139.066587337832,2159.1664262764248,2170.453166699078,2174.2613172466026,2171.4015796953213
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1189.3828839293938,1192.171798939631,1197.5492567719314,1208.2598999092586,1218.2700690121653,1227.291073,1227.4269818739551,1228.828399775822,1227.0684421400388,1225.3169078017852,1222.1558675486963,1219.3828877782173,1220.3821531134763,1222.1806156994414,1228.7138778838462,1234.0010282794924,1237.3215682344003,1237.8855307795325,1236.6749313837258,1234.1520713916634,1229.1021967297168,1226.0774992019722,1220.6668240921288,1218.1485875071396,1218.2474163195545,1226.3223878904423,1235.2390844011388,1239.676872858187,1246.6890030650306,1247.7474370243274,1248.5752670388044,1243.6668302878218,1250.4658822137533,1258.9831369756675,1271.0733667544869,1278.0368186578874,1280.2973124273383,1285.61356,1286.3626285955083,1294.669191888739,1297.34049,1302.4786376964787,1301.6837056617314,1299.7364149362177,1295.9745625913724,1296.3955129788642,1298.6685437698561,1298.6242805185168,1298.348207,1295.4311181575224,1301.7397777885456,1307.502587364314,1317.9452508363538,1324.7648070142836,1328.6964378558225,1328.342142436945,1324.6915058513925,1323.5891698259975,1322.499769851214,1326.055181142585,1328.912159973153,1335.2877685042765,1341.3498973298636,1338.1292718648597,1332.766065552654,1327.3423505298624,1331.6465451626007,1335.4963411672688,1335.065500598242,1335.3430098811746,1335.1784735204408,1334.7731305658046,1337.9449764011324,1340.6862556442377,1349.2962673919808,1361.580738719584,1381.5709161579166,1408.2380447554144,1432.2413427722747,1454.2439809357757,1466.6969341867439,1474.230313827898,1478.005506767385,1480.5989121934617,1485.985617720653,1495.3570061675491,1506.0864692021503,1517.6882798071836,1528.9000454217178,1543.6776301328462,1555.9278826708562,1563.0400549765825,1561.068276096535,1555.0320097324636,1547.5714273468668,1545.7552305249885,1549.5943399842035,1557.461058733963,1568.1328436024194,1573.2703964559848,1581.111244108586,1587.9024203842876,1594.173575634087,1596.0156688417903,1592.2118306028497,1588.081758272795,1583.4647639717562,1582.7380611959059,1585.205422043202,1589.740515996706,1592.722985994793,1598.971979564057,1606.0774388494603,1613.709787311924,1617.4194244604112,1620.5895041045408,1622.0497629493552,1622.0951653467155,1619.8618489510807,1618.0671532476006,1619.5589677628936,1623.413724431229,1632.5123295697736,1636.5666869013942,1637.1777206296852,1628.2209605958483,1627.8823535261965,1626.789977670219,1629.6791401468774
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,927.9275054691981,943.0793441828753,950.2016006639782,963.2969185962721,963.5676303342493,971.5426197479421,971.6134350985996,972.8302562535347,975.7529969562817,978.3068553296163,982.1980715,983.7635796007729,989.0103313360776,993.5958365348597,1000.5265745142893,1007.4631148471522,1015.3188407012461,1022.4313351148612,1026.5551642604946,1028.720048173513,1029.436705433782,1029.043601024312,1030.9880284071141,1031.9904662749789,1038.8458466372053,1046.2912832863024,1058.0167627258943,1067.183546612137,1077.098066108298,1083.1082770698808,1088.1497957923655,1090.2901045340816,1093.0394598723244,1094.7521593601816,1097.7504185021562,1100.013619453723,1104.7920850648788,1110.6015400667793,1122.9409111433101,1136.5147961752516,1147.9442812899883,1155.9691799209643,1163.1161073589562,1168.8047436481372,1174.033811546916,1177.6316703804646,1183.4070186332356,1188.9014376946577,1192.812284669476,1201.532979286924,1211.9041548278667,1227.3694804401953,1238.8619813939754,1249.3655551841662,1256.8320486772639,1263.4905869731547,1267.8348774363558,1271.3295901621052,1276.672716696646,1284.5882271328471,1293.8600609871146,1304.0513926130375,1310.1959452558608,1310.4357894795778,1309.2038247926362,1313.2476680857642,1326.8632445946566,1343.1181364931488,1358.5918420017922,1372.5790825847441,1385.4328512354552,1395.676812651194,1407.9065957674857,1421.0660218221333,1443.4157863120404,1471.2185933764551,1510.0314846132067,1554.8139935780307,1603.141487238616,1646.206723407625,1677.6424613527845,1698.531887907698,1710.613337247363,1720.0362993371414,1729.0657519654353,1740.2062839972732,1753.6449497320675,1765.0811660154673,1773.1157462406434,1779.7978104514157,1784.888353523569,1785.7290564079246,1776.9957442072248,1765.8407316046723,1755.0138577534751,1750.789307237213,1747.7447858247679,1752.9712786636578,1766.2273324933922,1773.5793655720552,1777.047188769578,1773.6454336645922,1777.950401934081,1777.8233644161226,1774.6148173385573,1765.265857594746,1756.5947640031466,1749.3723721271253,1752.1061781208173,1760.5389493175658,1770.2266489194753,1777.2683548310063,1781.0914611804756,1783.206532212971,1784.0822819587881,1783.331706850796,1781.3116453955977,1773.7760120509106,1766.2839270607144,1761.1046199845237,1764.283696,1773.7238550249401,1781.9513721746314,1784.7004652528678,1781.2695306008136,1778.3275982031935,1775.3701759318499,1770.440732677894,1766.964451287902
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1660.1187197914583,1671.1743824208318,1680.3060435609925,1683.7647175946945,1694.8936866348502,1703.3106816625477,1719.911504,1730.5531864960585,1738.8914978029275,1742.555801076372,1741.1097175084735,1747.998772293956,1753.3628137127491,1762.4354562766414,1771.3234721546619,1781.8281420968913,1794.5721523484376,1809.3025441285774,1821.413996787973,1829.3259489153943,1832.3120825356439,1833.9153737910674,1834.3018851425486,1836.6179379267116,1843.556277449972,1859.5657866170325,1878.6585560454366,1897.4459058948842,1913.299889601613,1924.710443295881,1936.170142281085,1942.0274763221157,1944.651330328414,1944.234218581015,1944.5119267221905,1946.6726120824678,1956.831573319281,1967.9896686638037,1982.8587972276453,1994.4803020457252,2010.6205888464574,2021.7089773102332,2032.6013849612423,2039.9428754204089,2044.9773349617121,2044.596712403492,2039.4093075373578,2041.5730197612202,2046.0016279197662,2053.374716535635,2060.103555635567,2070.433856483222,2083.549291185719,2095.652478884072,2107.6962257315704,2115.1270805172308,2116.590146266194,2116.134259860164,2116.741166838297,2120.819448165753,2125.707642848274,2130.508493101314,2134.0354821967962,2126.2665547944925,2120.271336903976,2119.108367,2130.3108796235265,2139.405310634045,2152.5024468073757,2167.9106104440375,2182.519177694965,2192.2926479036023,2199.197036544465,2210.3104312329383,2226.948950292628,2255.2106543848213,2292.4849470809954,2331.944168096146,2381.513400598427,2432.8423709995263,2487.089767828443,2520.043584854165,2542.4415715028526,2557.2115523087164,2576.2757782463377,2603.518738766081,2635.0326967869064,2678.9830585182726,2722.955886728623,2768.857051937814,2800.2254247886035,2825.872007534407,2830.2701813455733,2824.4533348850327,2804.8531342152182,2794.7249174179433,2789.4708761481875,2798.7136014208795,2824.2867200813803,2853.729667813401,2886.6829257074746,2907.4466059398014,2924.7792945419483,2931.057638673272,2928.934183344174,2915.487090543579,2892.8330093465956,2873.3109879810136,2866.2245490557543,2876.2063038868237,2893.792863865499,2913.368341637254,2930.650445907317,2946.701038978673,2957.9490478777648,2960.3805686504043,2960.2880113879833,2959.7986275849685,2960.1808950860914,2954.6958210321063,2957.136433094268,2964.1633869488564,2980.6201191948267,2989.155532537391,2998.044331418166,3006.6491899752186,3011.747503,3018.483915,3015.723235528645
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1894.1640172250918,1904.002870770481,1915.0869992095663,1930.795363966356,1941.9484920900436,1955.731163672055,1965.920841880752,1979.2474566042335,1981.549396,1986.0852423195856,1984.427130752345,1988.1333640614314,1993.107388075368,2000.5054803118371,2006.0992461967205,2015.495970299709,2030.9900801989668,2049.1220078174106,2058.578341480105,2060.8374420219143,2063.3945586916952,2059.851941482585,2065.7465570913832,2059.594039462062,2070.819657716552,2082.818345601043,2107.420927837249,2125.581595008956,2133.222979,2143.927552219943,2149.3756014373917,2157.3954936300843,2158.750823572576,2155.4193846333224,2157.984087729518,2159.274173531288,2170.161755140249,2174.9804189850993,2186.688789557756,2194.064673239767,2202.084831629098,2209.3979400661106,2214.908631407126,2217.4110192553935,2218.5363673616507,2221.538520010332,2224.5239049034876,2225.0082911391173,2228.4457817553134,2235.1273912911765,2247.2422245097773,2253.2372607431735,2267.145099936689,2275.614962411515,2286.4846040734083,2288.000708,2288.0918050259393,2288.787169779026,2293.3173731772577,2296.3481413213026,2304.3750818860963,2310.4382614513515,2314.994988143891,2300.5509416502446,2286.3255098614263,2278.956825,2286.0278647710034,2293.577601838694,2306.2307090912454,2320.4612320682445,2328.9114120400027,2337.073783484218,2350.560294302043,2372.126858777181,2395.1716030656453,2416.104021819026,2444.0516018111625,2490.0176872976044,2559.9890837469184,,2717.617435688564,2758.1185227103524,2780.5884335670476,2792.4134621118396,2812.1003082868433,2832.196633553965,2861.606460837923,2896.386403536597,2927.7915386985665,2956.8370702540674,2975.263427098896,2983.191603931975,2977.2605916477487,2964.3238116622942,2955.6603207436974,2940.5014994158123,2931.584017010807,2927.823708454962,2940.6542926953093,2953.6776432890156,2970.2962090341452,2989.354639226171,3023.2044032215144,3049.735176886154,3062.683178657964,3061.205698646711,3051.6286678440392,3051.7490536120927,3049.1789386584287,3054.235537153216,3053.250756165442,3060.381504733267,3071.3889267506756,3090.4266424567536,3111.3730547748805,3127.051161,3132.329018497571,3133.627636366014,3128.1284828966877,3124.9093177584027,3132.2529279902114,3147.089462,3166.8101414439325,3177.010727,3186.7015136344153,3198.7053319644688,3201.3527987145785,3209.7790115666135,3213.642884932477
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2347.5469881173426,2365.0684996756186,2392.1276748786736,2411.819349080015,2434.6443217333967,2464.2577869988777,2482.2638721416165,2492.0979064603707,2506.8063207222876,2516.3934974580543,2509.107432994985,2483.8590212294425,2472.190358807946,2473.253669284405,2488.8027590791808,2495.925122371048,2507.5704500813818,2519.6693621724085,2537.650248233271,2553.566863054493,2560.1526051440756,2556.7094567665454,2558.8103943344263,2546.279698902192,2534.9395398071056,2523.9066225888514,2528.211643685304,2545.196538545783,2558.7200120515363,2575.551004419515,2592.3698286325475,2604.8907139177063,2604.676370747006,2587.3927021584486,2568.186991383288,2555.2084128711804,2554.584267972878,2555.902043280847,2569.7583200676786,2587.664061869261,2607.3506794065506,2622.6585798411647,2633.7375919770197,2644.359962792467,2646.2939390155216,2637.3684517972088,2622.9686859062017,2605.2951455540133,2607.2352040575884,2621.151771393278,2649.2428608199402,2668.5428429970248,2693.505512067555,2709.487211,2734.4254341676915,2749.9937876368385,2765.5668729888653,2768.728498246998,2765.5776689148993,2757.3548661210157,2757.1193421428693,2765.9996684139155,2782.1810802419277,2775.3933927641915,2757.218573574848,2725.1687846034797,2701.773263806826,2663.445076991279,2614.6986635508656,2567.9859667511237,2533.485997940276,2514.825894771139,2507.0044464020916,2516.306499350992,2538.117638488727,2571.5833254868976,2611.950627745601,2665.8461494075686,2723.714878286967,2779.564226255518,2826.772217919495,2853.372633209844,2874.423786596307,2886.5331690006506,2918.9932370532065,2956.258639305825,3007.629134269629,3052.0614261321166,3114.388890282022,3178.7216987841666,3241.5052086857154,3282.455504399174,3293.4514278716815,3284.5448144416137,3244.258549248144,3210.8039337797513,3202.9616434714594,3217.9486940890274,3244.341338593974,3273.4045000343403,3311.154986750526,3352.1282519593565,3382.2503711824447,3400.575995032354,3406.620659407524,3388.685121191526,3351.418873596218,3323.359309923138,3321.406952,3347.948928890546,3378.7229054980894,3408.500970141557,3444.2224302754007,3479.826506,3506.320422615892,3511.091111293288,3499.8540007535494,3478.3061704578613,3450.4446614115686,3420.9076246832624,3412.352035421579,3438.0556110020025,3484.2040369921465,3533.8990324988954,3569.9633599871254,3615.0153247922394,3648.9010090869456,3675.0939038010474,3665.180962710645
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1611.7026610195603,1621.875708037271,1634.025998829182,1644.521905408093,1655.1130469112538,1662.724784307028,1670.3602,1676.6753518427026,1684.3090300872118,1686.0472341747338,1692.9476807193398,1697.9327569207742,1704.9074519609983,1708.0957362150186,1710.4183129199037,1710.7633549470534,1710.613390406568,1708.7624316079377,1708.9697430391625,1705.259869158499,1704.857251,1702.5560344885014,1700.6766510909956,1694.943973198253,1699.4558825928584,1705.1969048925541,1716.2934132759806,1717.724225603102,1720.9310086447206,1722.3396118917444,1723.4337998880112,1726.029465332585,1728.6985426678189,1732.533515596841,1731.9874633950717,1732.4453022183673,1734.7056460745357,1739.3478220739216,1744.4906615195591,1750.1603163118796,1753.8125160195564,1759.0687718622864,1762.8374628000104,1768.8490835541559,1771.8128764706387,1776.4987719319624,1777.6255197466598,1779.552133399698,1779.8108091107417,1778.2720638136925,1782.0092112719674,1786.3251078510343,1794.8755201223862,1798.223648463499,1799.0031520426555,1800.0630393136491,1801.3414742219063,1810.3233673857899,1820.7213095081174,1830.0464107062785,1831.9631572295496,1834.136445665802,1833.1576488709416,1824.5560208387417,1811.7515969616197,1806.279256244183,1809.2817183374436,1810.1014237713248,1807.2151290551753,1811.4732632279074,1826.041191285004,1844.2109850013153,1867.6581886182405,1902.152415,1939.1909061932702,1980.0006893386976,2021.9758292966733,2076.5014954512644,2142.348778056434,2203.352554203273,2258.117927062645,2300.6737022688562,2345.0123709419036,2397.931256430772,2444.2849211788234,2503.924187,2558.3867616439743,2620.921042349455,2667.6326699739116,2701.1998220990404,2725.5890885118806,2736.004718381814,2744.8651854233394,2741.3246222788976,2738.1902696076463,2738.509087,2742.0587961955057,2749.8227992752836,2760.3381581593717,2772.792778285913,2777.8703101567776,2775.8949141059265,2770.4686465081822,2766.6985806182315,2763.050089027413,2765.324175028642,2769.083718263389,2767.709491044934,2768.5872272375595,2777.960201244095,2796.2096745902745,2812.5783770379626,2821.792507584908,2825.2211455566976,2825.973497169947,2825.438821878672,2827.993529745187,2830.2662365717633,2830.754116253549,2832.290203,2838.6334161958507,2846.5986875815433,2852.462032351399,2854.0728285020837,2857.5395828482274,2856.3994650688433,2852.5595612486195,2841.379012266579,2833.792428474701
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1044.7310373861108,1046.5251244007993,1053.6803549242395,1068.6799970999489,1081.6583095326137,1091.278678303798,1098.9309802390426,1102.0933422892722,1104.5991966463448,1104.5255888487338,1109.2424100682588,1111.854230524739,1115.6923208613475,1120.8915034653373,1128.7240021310843,1139.488258,1147.0194650192918,1157.3164950652617,1161.3030723062152,1165.2018257886502,1164.292507683531,1170.0182304639927,1172.4621120708393,1176.8194898365284,1182.8185425056915,1187.529912573331,1199.185304418902,1207.1204654695537,1220.414038018337,1225.995734812998,1230.6612648902073,1230.371580041501,1230.0657634234155,1227.9399879624345,1235.9853989669582,1239.240154126041,1243.563489452208,1249.0982241774354,1251.978824976008,1256.4568862676422,1256.3881949750505,1268.7161993600887,1274.443591811619,1277.9871434790145,1270.9927868975078,1272.638243568642,1274.8556460492464,1278.5232114055693,1283.9481687975551,1286.313638331999,1296.3725583526102,1303.6543108766332,1312.4919309830593,1323.8869601035806,1326.450733927434,1329.8954316437735,1327.745006777799,1326.476478572762,1322.2203375652464,1316.216835845979,1320.1326597133477,1326.0180860131593,1333.2931394549175,1331.6294938536173,1328.7411703650941,1327.3984719231266,1328.883597860626,1331.516485154657,1333.4273163883815,1335.6650441930026,1334.4829646283608,1337.6664750471707,1342.689694098182,1354.6321919727918,1363.698934327057,1381.2103659691952,1403.3563016533008,1434.971444067208,1468.311873,1499.1166066533408,1521.9876924544758,1534.0979520386943,1542.2056012510238,1549.7289675710667,1562.0357960370247,1578.064832549822,1590.891478524917,1610.187212162504,1631.782429,1665.390344250402,1687.427489213459,1695.778192498923,1689.318635834851,1672.2426294050222,1660.2487356967627,1649.6443090607963,1647.7940360470454,1649.1778732405376,1658.8519874261597,1665.5705701336776,1673.1028278563906,1677.2367492149283,1683.683255708809,1684.082282620007,1679.7588936833629,1671.3498902179326,1663.6763460109435,1654.8117975751265,1651.4965423805934,1650.1570212347674,1651.442630545732,1655.3637962941034,1661.169543263587,1669.941144050557,1677.2494144061782,1680.433863880432,1675.700659303654,1670.2835502868602,1667.0774774552444,1665.3958279223436,1662.9917540734891,1664.9183841799831,1671.4504643252615,1681.9703074624583,1684.9946403447836,1687.1726905145595,1684.4364485147505,1680.7493569217443,1676.5556642422928
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1353.550986153163,1356.8094452372325,1359.5398768435793,1367.3844187181296,1373.714043,1383.8425099838864,1393.3979563218065,1399.524125087611,1406.228620546246,1412.9019231003967,1418.1871225306093,1422.7858526652954,1423.2060010287653,1431.6276031345647,1434.004608735205,1434.6403062454074,1439.2381460282957,1443.8444718474284,1456.2447780731832,1460.575661232845,1474.264517810797,1475.837767554119,1483.5511314136684,1481.6598588622096,1497.8195515459033,1507.5641004322815,1520.170897142833,1530.0177254510857,1539.8152839250852,1551.8494406636146,1559.1650168540261,1570.3590318657925,1576.8043526439972,1581.8789607668912,1586.447033444365,1587.697553656216,1595.2675780600512,1605.6013235852258,1618.1243822331742,1622.4726239493457,1624.6186282883107,1632.2308501670507,1642.8322772603403,1653.8992899684515,1664.4126758362302,1675.5926143398183,1682.5132266292078,1688.442755659872,1688.4640114108433,1689.8702282915183,1697.433808165266,1708.1315710568401,1719.8302943002916,1725.9880059889467,1736.6031587130071,1747.1277221019593,1752.5198972824198,1757.7237450587174,1760.6100462006627,1766.8889487638398,1770.7330613793615,1777.9901224031746,1781.052804359374,1777.3487811148286,1772.3540179190475,1784.4632064006134,1806.3897228369508,1837.9308046934445,1863.8961369017518,1889.990460475855,1912.0677696038379,1934.0911832227048,1957.4016938850332,1979.312880715315,2004.4401708912321,2020.2581328063131,2056.788835374061,2093.3430330503866,2147.7129487793395,2191.6558227000914,2232.3470257282756,2253.3875627838565,2272.3475094596515,2274.9042003892473,2297.0295067299235,2311.771024458636,2344.3739199198985,2369.098373730785,2388.7336563009044,2408.281922461746,2422.210529351498,2432.355207576677,2438.8744696812823,2434.168802846684,2425.010862859661,2416.5140075709046,2416.7791006593043,2425.9253072699557,2436.156227739414,2443.518503209447,2448.4428284773335,2445.6526098448926,2452.482177623829,2463.975272618648,2472.5693076718453,2484.8532833963354,2479.3588058450623,2479.497795151921,2471.106385619328,2487.2516008725356,2498.4103157835666,2510.557406194098,2516.9774458644483,2519.3018281063887,2533.8373672791395,2539.8677170375845,2558.0947480025757,2557.770507871932,2558.298467993068,2567.334787,2584.495796391793,2593.7370365848956,2588.8595323902427,2585.8828224926065,2593.957222498819,2597.019592,2595.275122852164,2595.0816112888565,2601.7884186363153
